name,speed,shootAccuracy,shootPower,defense,stamina,totalScore
Cristiano Ronaldo,93,95,94,22,90,90.20
Gareth Bale,95,81,87,60,90,86.40
Carlos Tevez,87,88,88,39,91,85.40
Hulk,85,85,94,33,84,85.05
Jamie Vardy,93,82,84,54,90,84.90
Pierre-Emerick Aubameyang,96,88,78,28,79,83.95
Arjen Robben,90,85,86,29,73,83.40
Lionel Messi,90,93,80,13,75,83.30
Sergio Aguero,86,90,87,13,74,83.25
Andre Hahn,91,79,84,46,90,83.00
Luis Suarez,78,90,88,30,88,82.70
Lukas Podolski,81,85,93,33,66,82.65
Marco Reus,91,83,84,30,73,82.55
Romelu Lukaku,85,84,86,27,80,81.85
Neymar,90,88,78,21,79,81.80
Robert Lewandowski,81,89,85,25,79,81.70
Gonzalo Higuain,83,90,85,12,72,81.60
Zlatan Ibrahimovic,74,90,93,15,75,81.60
Daniel Sturridge,89,85,83,15,72,81.45
Alexandre Lacazette,87,86,81,23,80,81.35
Jackson Martinez,85,86,82,27,82,81.35
Theo Walcott,96,82,75,33,75,81.30
Yaya Toure,78,82,86,63,86,81.25
Seydou Doumbia,92,80,79,34,84,81.20
Cedric Bakambu,88,82,83,30,75,81.15
Quincy Promes,89,82,82,25,80,81.15
Aleix Vidal,93,67,84,68,90,81.10
Inaki Williams,95,72,85,28,79,80.95
Karim Benzema,84,88,83,13,75,80.90
Alessandro Florenzi,84,76,82,71,92,80.75
Angel Di Maria,88,75,87,37,78,80.75
Antoine Griezmann,86,87,79,23,76,80.55
Juan Cuadrado,93,71,83,48,80,80.50
Alexis Sanchez,84,83,82,30,85,80.45
Nilmar,93,85,77,11,68,80.45
Diego Costa,78,88,83,28,85,80.35
Demba Ba,80,84,86,29,76,80.25
Paul Pogba,79,71,91,68,90,80.20
Steve Savidan,77,90,83,36,68,80.20
Henrik Mkhitaryan,84,74,87,49,84,80.15
Mame Biram Diouf,87,80,80,42,79,80.15
Memphis Depay,89,73,88,24,79,80.15
Carlos Bacca,84,88,81,12,72,80.10
Edinson Cavani,78,85,85,24,90,80.10
Dorlan Pabon,86,77,86,29,77,80.00
Ciro Immobile,83,83,85,21,72,79.95
Loic Remy,89,83,78,23,75,79.90
Manolo Gabbiadini,84,80,87,18,72,79.80
Moussa Sissoko,82,72,85,69,92,79.75
Anthony Martial,88,81,80,21,79,79.70
Danilo,84,70,85,75,85,79.70
James Rodriguez,78,85,86,25,73,79.60
Wayne Rooney,74,85,87,29,87,79.60
Javier Hernandez,85,89,75,22,75,79.55
Jermain Defoe,77,84,88,24,73,79.55
Dean Ashton,75,87,85,32,76,79.50
Domenico Berardi,87,80,81,22,80,79.50
Benjamin Moukandjo,91,80,78,25,70,79.45
Harry Kane,77,85,82,41,84,79.45
Paulo Dybala,85,87,77,15,79,79.40
Radja Nainggolan,78,75,83,78,94,79.40
Ahmed Musa,92,76,78,20,91,79.35
Ikechukwu Uche,85,83,80,26,73,79.35
Enner Valencia,85,75,84,37,85,79.30
Obafemi Martins,89,79,81,19,73,79.30
Fredy Guarin,76,71,92,63,88,79.25
Heung-Min Son,86,81,82,17,74,79.25
Jonathas,79,84,85,24,73,79.25
Kevin Volland,81,81,84,17,90,79.15
Moussa Sow,85,80,82,26,75,79.15
Abdulkader Keita,88,72,88,13,81,79.10
Douglas Costa,87,72,85,41,77,79.10
Nabil Fekir,83,80,84,24,76,79.10
Eden Hazard,87,81,79,25,74,79.05
Xherdan Shaqiri,84,74,84,51,78,79.05
Karim Bellarabi,90,75,81,28,76,79.00
Kevin de Bruyne,78,82,84,30,85,78.95
Moussa Marega,86,76,83,23,86,78.95
Alassane Plea,81,81,83,38,70,78.90
Alvaro Morata,87,82,79,15,75,78.90
Grafite,77,87,85,16,68,78.90
Hatem Ben Arfa,80,82,83,33,75,78.90
Patrick Herrmann,92,76,78,27,74,78.85
Paul-Georges Ntep,91,77,79,22,73,78.85
Claudio Beauvue,86,78,81,36,70,78.80
Antonio Candreva,83,74,84,42,86,78.70
Renato Sanches,86,65,85,66,92,78.70
Romain Alessandrini,91,74,83,15,71,78.70
Thievy Bifouma,94,69,85,18,68,78.70
Arturo Vidal,76,75,83,76,93,78.65
Elias,83,70,82,73,90,78.65
Kwadwo Asamoah,83,67,87,72,79,78.65
Christian Benteke,79,81,85,25,77,78.60
Jose Holebas,86,61,88,78,84,78.60
Lima,78,79,85,39,81,78.60
Sofiane Feghouli,92,73,80,25,77,78.60
Andre Schuerrle,86,75,85,23,72,78.55
Bakary Sako,85,71,88,37,70,78.55
Giovani dos Santos,86,81,80,21,68,78.55
Yevheniy Konoplyanka,88,79,78,21,79,78.50
Mario Gaspar,82,70,81,83,88,78.45
Michy Batshuayi,84,82,82,16,65,78.45
Alexander Esswein,91,70,86,18,68,78.40
Kevin Mirallas,87,78,77,40,76,78.40
Thomas Mueller,78,89,74,32,90,78.40
Abdoulaye Diaby,91,80,70,43,78,78.35
Jonas,77,87,82,16,75,78.35
Juan Vargas,78,69,90,72,73,78.35
Lautaro Acosta,93,69,81,26,83,78.35
Paul-Jose M'Poku,78,75,89,39,76,78.35
